symbol,value
ƒ,0
–,1
’,2
˜,3
„,4
‰,5
‰,6
™,7
…,8
‹,9
—,10
‘,11
”,12
Œ,13
–,14
“,15
ž,16
…,17
‰,18
ˆ,19
Ÿ,20
ƒ,21
Š,22
†,23
”,24
–,25
Š,26
›,27
œ,28
Ÿ,29
ž,30
˜,31
™,32
ˆ,33
™,34
—,35
˜,36
’,37
„,38
’,39
ˆ,40
‡,41
’,42
†,43
™,44
Ÿ,45
“,46
Ÿ,47
’,48
‡,49
ž,50
ž,51
˜,52
’,53
’,54
€,55
‘,56
ž,57
‰,58
—,59
š,60
Œ,61
“,62
–,63
’,64
‘,65
‰,66
•,67
–,68
›,69
†,70
Œ,71
‰,72
š,73
š,74
—,75
–,76
€,77
—,78
“,79
ƒ,80
•,81
™,82
œ,83
“,84
€,85
€,86
—,87
”,88
›,89
–,90
Œ,91
‰,92
Ÿ,93
„,94
‘,95
…,96
’,97
ž,98
•,99
†,100
‡,101
Ÿ,102
„,103
‰,104
„,105
‰,106
‡,107
”,108
‰,109
Š,110
š,111
—,112
Œ,113
…,114
€,115
‡,116
˜,117
ƒ,118
ˆ,119
ƒ,120
‰,121
—,122
Œ,123
Ž,124
‚,125
™,126
—,127
‹,128
€,129
ƒ,130
’,131
‡,132
‹,133
Š,134
Š,135
”,136
„,137
œ,138
Ž,139
œ,140
Ž,141
„,142
’,143
š,144
–,145
ž,146
ž,147
…,148
ˆ,149
”,150
”,151
„,152
‘,153
’,154
„,155
’,156
‹,157
ƒ,158
€,159
–,160
†,161
…,162
†,163
€,164
Ÿ,165
˜,166
ˆ,167
š,168
š,169
—,170
‘,171
Ž,172
œ,173
‹,174
ˆ,175
Ž,176
‰,177
Š,178
Ÿ,179
Ÿ,180
•,181
˜,182
‡,183
„,184
™,185
ƒ,186
ƒ,187
ƒ,188
‚,189
œ,190
ˆ,191
ƒ,192
“,193
”,194
š,195
’,196
ž,197
—,198
ƒ,199
„,200
†,201
”,202
†,203
Š,204
Ÿ,205
‚,206
‹,207
†,208
‘,209
’,210
…,211
„,212
ƒ,213
ƒ,214
‚,215
’,216
ž,217
—,218
Œ,219
™,220
€,221
ˆ,222
Ž,223
”,224
›,225
‚,226
„,227
•,228
ˆ,229
›,230
‘,231
Ÿ,232
ˆ,233
„,234
Š,235
ž,236
–,237
Ž,238
‰,239
Š,240
‚,241
Ÿ,242
œ,243
•,244
›,245
‹,246
‰,247
’,248
‘,249
—,250
Ž,251
‰,252
„,253
‹,254
”,255
Ž,256
Ÿ,257
–,258
‘,259
‘,260
›,261
š,262
˜,263
›,264
‚,265
…,266
Ž,267
‡,268
œ,269
ˆ,270
™,271
‘,272
ƒ,273
•,274
Œ,275
ƒ,276
†,277
–,278
ƒ,279
•,280
—,281
‘,282
†,283
œ,284
—,285
”,286
ˆ,287
ƒ,288
—,289
‰,290
–,291
›,292
˜,293
‹,294
…,295
•,296
—,297
‘,298
ž,299
Œ,300
„,301
€,302
‹,303
•,304
”,305
‘,306
“,307
‰,308
š,309
‘,310
ˆ,311
Š,312
’,313
Ÿ,314
„,315
‚,316
ƒ,317
—,318
†,319
›,320
™,321
ƒ,322
•,323
š,324
–,325
‘,326
š,327
‡,328
„,329
ƒ,330
„,331
ˆ,332
—,333
Š,334
œ,335
™,336
„,337
Ÿ,338
—,339
€,340
›,341
„,342
‚,343
ž,344
œ,345
“,346
‡,347
‹,348
“,349
ˆ,350
Š,351
ˆ,352
€,353
œ,354
ƒ,355
‹,356
š,357
ƒ,358
€,359
†,360
‰,361
‡,362
”,363
œ,364
ˆ,365
™,366
•,367
ž,368
ˆ,369
…,370
Ž,371
›,372
„,373
Ÿ,374
“,375
€,376
•,377
ž,378
—,379
€,380
—,381
’,382
˜,383
Œ,384
˜,385
š,386
‚,387
Ÿ,388
ˆ,389
›,390
”,391
™,392
„,393
ƒ,394
’,395
Œ,396
‘,397
—,398
—,399
—,400
‡,401
š,402
‚,403
‘,404
„,405
’,406
“,407
‘,408
‘,409
“,410
Œ,411
˜,412
–,413
™,414
ˆ,415
‹,416
‡,417
Š,418
œ,419
”,420
“,421
ž,422
‘,423
Ÿ,424
•,425
›,426
–,427
‘,428
Œ,429
†,430
›,431
Ž,432
˜,433
•,434
ƒ,435
‚,436
œ,437
‡,438
…,439
•,440
œ,441
’,442
…,443
”,444
‹,445
€,446
‡,447
ž,448
“,449
”,450
ˆ,451
‚,452
•,453
„,454
”,455
’,456
–,457
Š,458
‚,459
”,460
˜,461
‰,462
‹,463
Ÿ,464
ƒ,465
Ž,466
œ,467
”,468
ƒ,469
‘,470
ˆ,471
€,472
•,473
†,474
”,475
—,476
€,477
€,478
Š,479
š,480
’,481
‹,482
ˆ,483
‘,484
ˆ,485
š,486
‰,487
–,488
“,489
ˆ,490
ˆ,491
Ÿ,492
—,493
…,494
œ,495
…,496
œ,497
‰,498
Ÿ,499
